"Name","Gross Export","Share","Code","Sector"
"Horses","284632768","0.011169035471952506","0101","Agriculture"
"Bovine","518852064","0.020359838216209077","0102","Agriculture"
"Swine","33079666","0.00129805139988078","0103","Agriculture"
"Sheep","3976451","0.0001560365750702358","0104","Agriculture"
"Fowl","274200736","0.01075968086295491","0105","Agriculture"
"Other live animals","120243024","0.004718355548967702","0106","Agriculture"
"Beef","4553687040","0.17868740986958467","0201","Agriculture"
"Beef (frozen)","4328904704","0.1698669149494343","0202","Agriculture"
"Pork","5840924672","0.22919882102460723","0203","Agriculture"
"Lamb","14689344","0.0005764122147584662","0204","Agriculture"
"Horse meat","687221","0.000026966662271543777","0205","Agriculture"
"Edible offal","2022177920","0.07935058594195007","0206","Agriculture"
"Poultry","4760576000","0.18680576584536385","0207","Agriculture"
"Other meat","5675312","0.00022270015321074245","0208","Agriculture"
"Pig and poultry fat","50557004","0.001983864946398739","0209","Agriculture"
"Preserved meat","284042656","0.011145879382417428","0210","Agriculture"
"Live Fish","49312012","0.0019350112606196755","0301","Agriculture"
"Fish, excluding fillets","219607872","0.008617448122796618","0302","Agriculture"
"Frozen fish, excluding fillets","1715464704","0.0673151101487321","0303","Agriculture"
"Fish fillets","1379407360","0.054128166065940654","0304","Agriculture"
"Preserved fish","41102008","0.0016128493867595584","0305","Agriculture"
"Crustaceans","1018707520","0.03997424648740642","0306","Agriculture"
"Molluscs","327252896","0.012841456131021374","0307","Agriculture"
"Milk","140209008","0.00550182396370917","0401","Agriculture"
"Milk, concentrated","2471579648","0.09698518183355434","0402","Agriculture"
"Fermented milk products","110211200","0.004324705166084223","0403","Agriculture"
"Whey","844397696","0.03313430103402209","0404","Agriculture"
"Butter","205743872","0.008073422538984885","0405","Agriculture"
"Cheese","1802251136","0.07072062366111936","0406","Agriculture"
"Eggs, in shell","598396416","0.023481171347753075","0407","Agriculture"
"Egg yolks","98132976","0.0038507537189543264","0408","Agriculture"
"Honey","25726558","0.0010095142625083965","0409","Agriculture"
"Edible animal products, n.e.c.","6595813","0.00025882076010083795","0410","Agriculture"
"Human hair, unworked","3082067","0.00012094080344935635","0501","Agriculture"
"Brushmaking hair","739708","0.000029026260570557515","0502","Agriculture"
