"Name","Gross Import","Share","Code","Sector"
"Horses","682784768","0.019603331294480497","0101","Agriculture"
"Bovine","1541199360","0.04424914418260911","0102","Agriculture"
"Swine","570302784","0.016373877884921638","0103","Agriculture"
"Sheep","1470087","0.00004220744785669992","0104","Agriculture"
"Fowl","40804248","0.0011715246579228657","0105","Agriculture"
"Other live animals","321359104","0.009226493143164864","0106","Agriculture"
"Beef","4902118400","0.1407439877744441","0201","Agriculture"
"Beef (frozen)","2601027072","0.07467769901734038","0202","Agriculture"
"Pork","1545919232","0.04438465572126655","0203","Agriculture"
"Lamb","1349189376","0.038736374266511775","0204","Agriculture"
"Horse meat","1343910","0.00003858479889224079","0205","Agriculture"
"Edible offal","518627264","0.014890229763505795","0206","Agriculture"
"Poultry","386292160","0.011090776396670388","0207","Agriculture"
"Other meat","53871972","0.0015467101260861417","0208","Agriculture"
"Pig and poultry fat","17465612","0.0005014525723820103","0209","Agriculture"
"Preserved meat","381939072","0.01096579553854728","0210","Agriculture"
"Live Fish","110939360","0.0031851633627504087","0301","Agriculture"
"Fish, excluding fillets","2444752896","0.07019093453682408","0302","Agriculture"
"Frozen fish, excluding fillets","955687168","0.027438591260705806","0303","Agriculture"
"Fish fillets","6877250560","0.19745171163928413","0304","Agriculture"
"Preserved fish","367558592","0.01055291972932353","0305","Agriculture"
"Crustaceans","10636935168","0.3053954537782169","0306","Agriculture"
"Molluscs","788724992","0.022644965211661663","0307","Agriculture"
"Milk","63888304","0.0018342875351819263","0401","Agriculture"
"Milk, concentrated","113641936","0.003262756617842637","0402","Agriculture"
"Fermented milk products","92037888","0.0026424860287865867","0403","Agriculture"
"Whey","293772256","0.008434451278642079","0404","Agriculture"
"Butter","388279520","0.011147835192219558","0405","Agriculture"
"Cheese","1520769280","0.04366257921311533","0406","Agriculture"
"Eggs, in shell","78235776","0.002246215656657364","0407","Agriculture"
"Egg yolks","23773932","0.0006825698038542818","0408","Agriculture"
"Honey","608570816","0.0174725856248163","0409","Agriculture"
"Edible animal products, n.e.c.","42614668","0.0012235033556113198","0410","Agriculture"
"Human hair, unworked","1760664","0.00005055016061849993","0501","Agriculture"
"Brushmaking hair","6648393","0.0001908810164829352","0502","Agriculture"
"Animal guts, except fish","138011216","0.00396241936903037","0504","Agriculture"
"Feathers and down","135097776","0.003878772029190194","0505","Agriculture"
"Bones, simply prepared","30071074","0.0008633661054413546","0506","Agriculture"
"Whalebone & horns","12248296","0.0003516589934836688","0507","Agriculture"
"Coral and shells","22450232","0.00064456525124759","0508","Agriculture"
"Animal products used in pharmaceuticals","18267558","0.0005244771239758201","0510","Agriculture"
"Animal products n.e.c.","740807040","0.021269200062769215","0511","Agriculture"
"Flower bulbs","210450112","0.006042201671517847","0601","Agriculture"
"Other live plants","875074880","0.02512414392366434","0602","Agriculture"
"Cut flowers","2150165504","0.0617330800104721","0603","Agriculture"
"Other parts of plants","260142000","0.007468898031434622","0604","Agriculture"
"Potatoes","279436608","0.008022862634261167","0701","Agriculture"
"Tomatoes","2929363456","0.08410451580242684","0702","Agriculture"
"Onions, shallots, garlic","794988160","0.022824786090818987","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","685070912","0.019668968432740276","0704","Agriculture"
"Lettuce","468114240","0.013439957890777017","0705","Agriculture"
"Carrots & turnips","192331248","0.00552199367872379","0706","Agriculture"
"Cucumbers","1034883712","0.02971239138363107","0707","Agriculture"
"Legumes","318770688","0.009152177518748453","0708","Agriculture"
"Other vegetables","4237271552","0.12165566941665218","0709","Agriculture"
"Frozen vegetables","1233431552","0.035412868704946344","0710","Agriculture"
"Vegetables, provisionally preserved","52874120","0.001518060946643902","0711","Agriculture"
"Vegetables, dried","412720736","0.01184956328713798","0712","Agriculture"
"Legumes, dried","542194496","0.01556686503459298","0713","Agriculture"
"Tubers","122376744","0.00351354038315604","0714","Agriculture"
"Cashew nuts & coconuts","1445972992","0.04151511418170242","0801","Agriculture"
"Other nuts","1007372480","0.028922520518768265","0802","Agriculture"
"Bananas and plantains","2651128832","0.07611616315091131","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","4610742272","0.13237833136822658","0804","Agriculture"
"Citrus fruit","1665235968","0.0478103406726685","0805","Agriculture"
"Grapes","1696959232","0.048721142557947614","0806","Agriculture"
"Melons and papayas","787408832","0.0226071771388666","0807","Agriculture"
"Apples & pears","277645792","0.007971446784082948","0808","Agriculture"
"Peaches & cherries","217761440","0.006252116115576757","0809","Agriculture"
"Other fresh fruit","4401337344","0.12636613781811967","0810","Agriculture"
"Fruits and nuts, frozen","1398007552","0.04013798561194861","0811","Agriculture"
"Fruits and nuts, provisionally preserved","17785746","0.0005106438917475694","0812","Agriculture"
"Fruits, dried","313946400","0.009013668107940995","0813","Agriculture"
"Peel of citrus fruit or melons","7113785","0.00020424281654845872","0814","Agriculture"
"Coffee","6852349952","0.19673679400940228","0901","Agriculture"
"Tea","519926336","0.014927527225290095","0902","Agriculture"
"Mate","5246834","0.00015064106577893706","0903","Agriculture"
"Pepper","825121728","0.02368994645214204","0904","Agriculture"
"Vanilla","355618720","0.010210115851147835","0905","Agriculture"
"Cinnamon","187675328","0.005388318256367857","0906","Agriculture"
"Cloves","14631664","0.00042008751545776087","0907","Agriculture"
"Nutmeg","63911060","0.0018349408792924635","0908","Agriculture"
