Country,Year,Gross Export,Share
Aruba,2021,$594M,0.03%
Afghanistan,2021,$247M,0.01%
Angola,2021,$467M,0.03%
Anguilla,2021,$81.0M,0.00%
Albania,2021,$108M,0.01%
United Arab Emirates,2021,$17.0B,0.97%
Argentina,2021,$7.17B,0.41%
Armenia,2021,$55.4M,0.00%
French Southern and Antarctic Lands,2021,$4.39M,0.00%
Antigua and Barbuda,2021,$556M,0.03%
Australia,2021,$26.5B,1.51%
Austria,2021,$4.56B,0.26%
Azerbaijan,2021,$192M,0.01%
Burundi,2021,$5.20M,0.00%
Belgium,2021,$29.5B,1.68%
Benin,2021,$279M,0.02%
Burkina Faso,2021,$137M,0.01%
Bangladesh,2021,$2.34B,0.13%
Bulgaria,2021,$339M,0.02%
Bahrain,2021,$889M,0.05%
The Bahamas,2021,$2.91B,0.17%
Bosnia and Herzegovina,2021,$93.5M,0.01%
Belarus,2021,$246M,0.01%
Belize,2021,$381M,0.02%
Bermuda,2021,$763M,0.04%
Bolivia,2021,$538M,0.03%
Brazil,2021,$45.0B,2.56%
Barbados,2021,$787M,0.04%
Brunei,2021,$221M,0.01%
Bhutan,2021,$5.92M,0.00%
Botswana,2021,$54.5M,0.00%
Central African Republic,2021,$17.5M,0.00%
Canada,2021,$282B,16.07%
Cocos (Keeling) Islands,2021,$770k,0.00%
Switzerland,2021,$24.1B,1.37%
Chile,2021,$16.9B,0.96%
China,2021,$163B,9.30%
Côte d'Ivoire,2021,$319M,0.02%
Cameroon,2021,$153M,0.01%
Democratic Republic of the Congo,2021,$316M,0.02%
Republic of the Congo,2021,$109M,0.01%
Cook Islands,2021,$4.19M,0.00%
Colombia,2021,$15.7B,0.90%
Comoros,2021,$1.65M,0.00%
Cabo Verde,2021,$12.6M,0.00%
Costa Rica,2021,$7.21B,0.41%
Cuba,2021,$323M,0.02%
Curaçao,2021,$358M,0.02%
Christmas Island,2021,$739k,0.00%
Cayman Islands,2021,$1.25B,0.07%
Cyprus,2021,$203M,0.01%
Czechia,2021,$4.03B,0.23%
Germany,2021,$74.2B,4.23%
Djibouti,2021,$194M,0.01%
Dominica,2021,$523M,0.03%
Denmark,2021,$3.91B,0.22%
Dominican Republic,2021,$10.7B,0.61%
Algeria,2021,$784M,0.04%
Ecuador,2021,$5.20B,0.30%
Egypt,2021,$5.56B,0.32%
Eritrea,2021,$19.4M,0.00%
Spain,2021,$18.0B,1.03%
Estonia,2021,$435M,0.02%
Ethiopia,2021,$700M,0.04%
Finland,2021,$2.02B,0.11%
Fiji,2021,$189M,0.01%
Falkland Islands,2021,$336k,0.00%
France,2021,$30.8B,1.76%
Faroe Islands,2021,$3.04M,0.00%
Micronesia,2021,$49.3M,0.00%
Gabon,2021,$95.2M,0.01%
United Kingdom,2021,$60.6B,3.46%
Georgia,2021,$665M,0.04%
Ghana,2021,$983M,0.06%
Gibraltar,2021,$772M,0.04%
Guinea,2021,$152M,0.01%
The Gambia,2021,$49.4M,0.00%
Guinea-Bissau,2021,$3.33M,0.00%
Equatorial Guinea,2021,$51.4M,0.00%
Greece,2021,$1.63B,0.09%
Grenada,2021,$175M,0.01%
Greenland,2021,$13.1M,0.00%
Guatemala,2021,$8.19B,0.47%
Guyana,2021,$958M,0.05%
