Country,Year,Gross Import,Share
Aruba,2021,$29.0M,0.00%
Afghanistan,2021,$22.8M,0.00%
Angola,2021,$983M,0.03%
Anguilla,2021,$700k,0.00%
Albania,2021,$66.5M,0.00%
Andorra,2021,$8.23M,0.00%
United Arab Emirates,2021,$6.62B,0.23%
Argentina,2021,$5.22B,0.18%
Armenia,2021,$88.4M,0.00%
French Southern and Antarctic Lands,2021,$167k,0.00%
Antigua and Barbuda,2021,$29.8M,0.00%
Australia,2021,$11.5B,0.39%
Austria,2021,$14.0B,0.48%
Azerbaijan,2021,$103M,0.00%
Burundi,2021,$3.55M,0.00%
Belgium,2021,$24.1B,0.82%
Benin,2021,$7.49M,0.00%
Burkina Faso,2021,$11.0M,0.00%
Bangladesh,2021,$8.80B,0.30%
Bulgaria,2021,$1.13B,0.04%
Bahrain,2021,$1.26B,0.04%
The Bahamas,2021,$469M,0.02%
Bosnia and Herzegovina,2021,$155M,0.01%
Belarus,2021,$410M,0.01%
Belize,2021,$70.2M,0.00%
Bermuda,2021,$10.8M,0.00%
Bolivia,2021,$514M,0.02%
Brazil,2021,$32.2B,1.10%
Barbados,2021,$46.0M,0.00%
Brunei,2021,$20.2M,0.00%
Bhutan,2021,$378k,0.00%
Botswana,2021,$235M,0.01%
Central African Republic,2021,$1.81M,0.00%
Canada,2021,$371B,12.64%
Cocos (Keeling) Islands,2021,$2.77M,0.00%
Switzerland,2021,$63.2B,2.15%
Chile,2021,$15.6B,0.53%
China,2021,$557B,19.00%
Côte d'Ivoire,2021,$1.27B,0.04%
Cameroon,2021,$219M,0.01%
Democratic Republic of the Congo,2021,$239M,0.01%
Republic of the Congo,2021,$48.8M,0.00%
Cook Islands,2021,$1.28M,0.00%
Colombia,2021,$13.1B,0.45%
Comoros,2021,$5.86M,0.00%
Cabo Verde,2021,$5.65M,0.00%
Costa Rica,2021,$6.72B,0.23%
Cuba,2021,$2.90M,0.00%
Curaçao,2021,$43.7M,0.00%
Christmas Island,2021,$1.52M,0.00%
Cayman Islands,2021,$44.3M,0.00%
Cyprus,2021,$72.8M,0.00%
Czechia,2021,$6.09B,0.21%
Germany,2021,$142B,4.85%
Djibouti,2021,$32.8M,0.00%
Dominica,2021,$2.60M,0.00%
Denmark,2021,$9.38B,0.32%
Dominican Republic,2021,$6.54B,0.22%
Algeria,2021,$1.91B,0.07%
Ecuador,2021,$7.97B,0.27%
Egypt,2021,$3.03B,0.10%
Eritrea,2021,$483k,0.00%
Spain,2021,$18.3B,0.62%
Estonia,2021,$1.97B,0.07%
Ethiopia,2021,$558M,0.02%
Finland,2021,$6.29B,0.21%
Fiji,2021,$279M,0.01%
Falkland Islands,2021,$12.7M,0.00%
France,2021,$46.1B,1.57%
Faroe Islands,2021,$220M,0.01%
Micronesia,2021,$2.61M,0.00%
Gabon,2021,$125M,0.00%
United Kingdom,2021,$58.5B,1.99%
Georgia,2021,$200M,0.01%
Ghana,2021,$1.78B,0.06%
Gibraltar,2021,$3.86M,0.00%
Guinea,2021,$11.1M,0.00%
The Gambia,2021,$1.16M,0.00%
Guinea-Bissau,2021,$206k,0.00%
Equatorial Guinea,2021,$282M,0.01%
Greece,2021,$1.87B,0.06%
Grenada,2021,$17.0M,0.00%
Greenland,2021,$41.6M,0.00%
Guatemala,2021,$4.90B,0.17%
Guyana,2021,$2.21B,0.08%
Hong Kong,2021,$10.4B,0.36%
Honduras,2021,$4.81B,0.16%
Croatia,2021,$799M,0.03%
Haiti,2021,$1.14B,0.04%
Hungary,2021,$5.97B,0.20%
Indonesia,2021,$27.7B,0.94%
India,2021,$74.1B,2.53%
British Indian Ocean Territory,2021,$401k,0.00%
Ireland,2021,$69.6B,2.37%
Iran,2021,$1.29M,0.00%
Iraq,2021,$3.89B,0.13%
Iceland,2021,$619M,0.02%
Israel,2021,$18.1B,0.62%
Italy,2021,$60.1B,2.05%
Jamaica,2021,$554M,0.02%
Jordan,2021,$2.69B,0.09%
Japan,2021,$138B,4.70%
Kazakhstan,2021,$1.63B,0.06%
Kenya,2021,$663M,0.02%
Kyrgyzstan,2021,$5.98M,0.00%
Cambodia,2021,$8.97B,0.31%
Kiribati,2021,$1.04M,0.00%
Saint Kitts and Nevis,2021,$41.2M,0.00%
South Korea,2021,$97.6B,3.33%
Kuwait,2021,$924M,0.03%
Laos,2021,$203M,0.01%
Lebanon,2021,$185M,0.01%
Liberia,2021,$80.1M,0.00%
Libya,2021,$2.22B,0.08%
Saint Lucia,2021,$11.3M,0.00%
Sri Lanka,2021,$3.14B,0.11%
Lesotho,2021,$337M,0.01%
Lithuania,2021,$2.30B,0.08%
Luxembourg,2021,$554M,0.02%
Latvia,2021,$626M,0.02%
Macao,2021,$154M,0.01%
Morocco,2021,$1.27B,0.04%
Moldova,2021,$65.5M,0.00%
Madagascar,2021,$651M,0.02%
Maldives,2021,$14.7M,0.00%
Mexico,2021,$388B,13.22%
Marshall Islands,2021,$18.1M,0.00%
North Macedonia,2021,$159M,0.01%
Mali,2021,$3.46M,0.00%
Malta,2021,$253M,0.01%
Myanmar,2021,$913M,0.03%
Montenegro,2021,$7.30M,0.00%
Mongolia,2021,$20.8M,0.00%
Mozambique,2021,$150M,0.01%
Mauritania,2021,$4.18M,0.00%
Montserrat,2021,$1.84M,0.00%
Mauritius,2021,$240M,0.01%
Malawi,2021,$48.4M,0.00%
Malaysia,2021,$48.6B,1.66%
Namibia,2021,$143M,0.00%
New Caledonia,2021,$45.4M,0.00%
Niger,2021,$85.8M,0.00%
Nigeria,2021,$3.27B,0.11%
Nicaragua,2021,$4.53B,0.15%
Niue,2021,$247k,0.00%
Netherlands,2021,$35.0B,1.19%
Norway,2021,$6.02B,0.21%
Nepal,2021,$121M,0.00%
Nauru,2021,$2.29M,0.00%
New Zealand,2021,$4.96B,0.17%
Oman,2021,$1.93B,0.07%
Pakistan,2021,$5.82B,0.20%
Panama,2021,$697M,0.02%
Peru,2021,$7.29B,0.25%
Philippines,2021,$13.8B,0.47%
Palau,2021,$582k,0.00%
Papua New Guinea,2021,$80.6M,0.00%
Poland,2021,$9.44B,0.32%
Portugal,2021,$4.75B,0.16%
Paraguay,2021,$208M,0.01%
Palestine,2021,$8.84M,0.00%
French Polynesia,2021,$85.6M,0.00%
Qatar,2021,$1.84B,0.06%
Romania,2021,$2.59B,0.09%
Russia,2021,$26.0B,0.89%
Rwanda,2021,$31.6M,0.00%
Saudi Arabia,2021,$12.1B,0.41%
Sudan,2021,$19.2M,0.00%
Senegal,2021,$149M,0.01%
Singapore,2021,$32.7B,1.12%
"Saint Helena, Ascension and Tristan da Cunha",2021,$32.1M,0.00%
Solomon Islands,2021,$2.21M,0.00%
Sierra Leone,2021,$17.1M,0.00%
El Salvador,2021,$2.62B,0.09%
San Marino,2021,$14.2M,0.00%
Somalia,2021,$1.19M,0.00%
Serbia,2021,$634M,0.02%
Sao Tome and Principe,2021,$1.32M,0.00%
Suriname,2021,$66.2M,0.00%
Slovakia,2021,$4.50B,0.15%
Slovenia,2021,$1.33B,0.05%
Sweden,2021,$15.4B,0.52%
Eswatini,2021,$23.2M,0.00%
St-Martin / St Maarten,2021,$49.3M,0.00%
Seychelles,2021,$12.1M,0.00%
Syria,2021,$10.1M,0.00%
Turks and Caicos Islands,2021,$5.40M,0.00%
Chad,2021,$4.20M,0.00%
Togo,2021,$18.3M,0.00%
Thailand,2021,$45.9B,1.57%
Tajikistan,2021,$802k,0.00%
Tokelau,2021,$336k,0.00%
Turkmenistan,2021,$25.1M,0.00%
Timor-Leste,2021,$6.44M,0.00%
Tonga,2021,$3.94M,0.00%
Trinidad and Tobago,2021,$4.27B,0.15%
Tunisia,2021,$663M,0.02%
Turkey,2021,$15.8B,0.54%
Tanzania,2021,$88.5M,0.00%
Uganda,2021,$96.8M,0.00%
Ukraine,2021,$1.81B,0.06%
Uruguay,2021,$637M,0.02%
Uzbekistan,2021,$160M,0.01%
Vatican City,2021,$798k,0.00%
